sites_ID;Authors;Type;Journal;References
bor1001;Santos_etal_2020;article;Studies on Neotropical Fauna and Environment;Santos, A. de C., Sales, P. C. L., Ribeiro, D. B., & Silva, P. R. R. (2020). Habitat conversion affects beta diversity in frugivorous butterfly assemblages. Studies on Neotropical Fauna and Environment, 55(3), 180–192. doi: 10.1080/01650521.2019.1710335
bor1002;Kerpel_etal_2014;Book chapter;;Kerpel, S. M., & Zacca, T. (2014). Capítulo 19 Borboletas do Semiárido?: conhecimento atual e. In Artrópodes do Semiárido: biodiversidade e conservação (pp. 1–28).
bor1003;Paluch_etal_2011;article;Biota Neotropica;Paluch, M., Mielke, O. H. H., Nobre, C. E. B., Casagrande, M. M., Melo, D. H. A., & Freitas, A. V. L. (2011). Butterflies (Lepidoptera: Papilionoidea and Hesperioidea) of the Parque Ecológico João Vasconcelos Sobrinho, Caruaru, Pernambuco, Brazil. Biota Neotropica, 11(4), 229–238. doi: 10.1590/S1676-06032011000400020
bor1004;Kerpel_etal_2014;Book chapter;;Kerpel, S. M., & Zacca, T. (2014). Capítulo 19 Borboletas do Semiárido?: conhecimento atual e. In Artrópodes do Semiárido: biodiversidade e conservação (pp. 1–28).
bor1004;Nobre_etal_2012;article;ISRN Zoology;Nobre, C. E. B., Iannuzzi, L., & Schlindwein, C. (2012). Seasonality of Fruit-Feeding Butterflies (Lepidoptera, Nymphalidae) in a Brazilian Semiarid Area. ISRN Zoology, 2012, 1–8. doi: 10.5402/2012/268159
bor1005;Kerpel_etal_2014;Book chapter;;Kerpel, S. M., & Zacca, T. (2014). Capítulo 19 Borboletas do Semiárido?: conhecimento atual e. In Artrópodes do Semiárido: biodiversidade e conservação (pp. 1–28).
bor1006;Filgueiras_etal_2016;article;Journal of Insect Conservation;Filgueiras, B. K. C., Melo, D. H. A., Leal, I. R., Tabarelli, M., Freitas, A. V. L., & Iannuzzi, L. (2016). Fruit-feeding butterflies in edge-dominated habitats: community structure, species persistence and cascade effect. Journal of Insect Conservation, 20(3), 539–548. doi: 10.1007/s10841-016-9888-4
bor1006;Filgueiras_etal_2019;article;Ecological Indicators;Filgueiras, B. K. C., Melo, D. H. A., Uehara-Prado, M., Freitas, A. V. L., Leal, I. R., & Tabarelli, M. (2019). Compensatory dynamics on the community structure of fruit-feeding butterflies across hyper-fragmented Atlantic forest habitats. Ecological Indicators, 98(March 2018), 276–284. doi: 10.1016/j.ecolind.2018.11.005
bor1006;Melo_etal_2019;article;Canadian Journal of Zoology;Melo, D. H. A., Filgueiras, B. K. C., Iserhard, C. A., Iannuzzi, L., Freitas, A. V. L., & Leal, I. R. (2019). Effect of habitat loss and fragmentation on fruit-feeding butterflies in the brazilian atlantic forest. Canadian Journal of Zoology, 97(7), 588–596. doi: 10.1139/cjz-2018-0202
bor1007;Kerpel_etal_2014;Book chapter;;Kerpel, S. M., & Zacca, T. (2014). Capítulo 19 Borboletas do Semiárido?: conhecimento atual e. In Artrópodes do Semiárido: biodiversidade e conservação (pp. 1–28).
bor1008;Kerpel_etal_2014;Book chapter;;Kerpel, S. M., & Zacca, T. (2014). Capítulo 19 Borboletas do Semiárido?: conhecimento atual e. In Artrópodes do Semiárido: biodiversidade e conservação (pp. 1–28).
bor1009;Kerpel_etal_2014;Book chapter;;Kerpel, S. M., & Zacca, T. (2014). Capítulo 19 Borboletas do Semiárido?: conhecimento atual e. In Artrópodes do Semiárido: biodiversidade e conservação (pp. 1–28).
bor1010;Neves_Paluch_2016;article;SHILAP;Neves, D. A., & Paluch, M. (2016). Estrutura da comunidade de borboletas frugívoras na Mata Atlântica do Litoral Sul da Bahia (Brasil) (Lepidoptera: Nymphalidae). SHILAP Revista de Lepidopterologia, 44(176), 593–606.
bor1011;Cambui_etal_2017;article;Forest Ecology and Management;Cambui, E. C. B., Nogueira de Vasconcelos, R., Mariano-Neto, E., Felipe Viana, B., & Zikán Cardoso, M. (2017). Positive forestry: The effect of rubber tree plantations on fruit feeding butterfly assemblages in the Brazilian Atlantic forest. Forest Ecology and Management, 397, 150–156. doi: 10.1016/j.foreco.2017.04.043
bor1012;Silva_2018;article;EntomoBrasilis;Da Silva, T. P., Pias, W. F., & Giovenardi, R. (2018). Borboletas frugívoras de fragmentos de Mata Atlântica no noroeste do Rio Grande do Sul, Brasil (Lepidoptera: Nymphalidae). EntomoBrasilis, 11(2), 95–102. doi: 10.12741/ebrasilis.v11i2.773
bor1013;Beirao_2016;thesis;;Beirão, M. do V. (2016). Distribuição espaço-temporal de borboletas frugívoras em ambientes tropicais sazonais (Vol. 60). UNIVERSIDADE FEDERAL DE MINAS GERAIS.
