Sites_ID;old_ID;Study;Study_sites;Subfamily;Tribe;Genus;Species
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Ageroniini;Hamadryas;Hamadryas_chloe
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Ageroniini;Hamadryas;Hamadryas_februa
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Ageroniini;Hamadryas;Hamadryas_feronia
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Ageroniini;Hamadryas;Hamadryas_laodamia
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Charaxinae;Anaeini;Fountainea;Fountainea_halice
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Charaxinae;Anaeini;Fountainea;Fountainea_ryphea
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Charaxinae;Anaeini;Hypna;Hypna_clytemnestra
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Biblidini;Biblis;Biblis_hyperia
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Satyrinae;Brassolini;Opsiphanes;Opsiphanes_invirae
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Callicorini;Callicore;Callicore_sorana
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Callicorini;Catagramma;Catagramma_pygas
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Catonephelini;Eunica;Eunica_tatila
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Nymphalinae;Coeini;Historis;Historis_acheronta
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Nymphalinae;Coeini;Historis;Historis_odius
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Biblidinae;Epiphilini;Temenis;Temenis_laothoe
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Nymphalinae;Nymphalini;Colobura;Colobura_dirce
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Satyrinae;Satyrini;Cissia;Cissia_penelope
bor1003;bor1002;Paluch_etal_2011;Parque_Ecologico_Joao_Vasconcelos_Sobrinho;Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_atalanta
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_poltys
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Satyrinae;Satyrini;Taygetina;Taygetina_kerea
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Satyrinae;Satyrini;Taygetis;Taygetis_laches
bor1001;bor1075;Santos_etal_2020;Forest/Sugarcane/Pasture;Satyrinae;Satyrini;Yphthimoides;Yphthimoides_affinis
bor1002;bor1001;Kerpel_etal_2014;Reserva_Ecologica_da_Mata_do_Pau_Ferro;Biblidinae;Ageroniini;Ectima;Ectima_thecla
bor1002;bor1001;Kerpel_etal_2014;Reserva_Ecologica_da_Mata_do_Pau_Ferro;Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome
