Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_coelestis;2.21;1.45;1.69;1.54;0.41;0.24;0.65;0.19;0.107;3.205;3.0483;1.308;206.813;;LABOR;
Satyrinae;Satyrini;Cissia;Cissia_phronius;1.81;1.16;1.62;1.33;0.41;0.3;0.66;0.1;0.109;2.1;3.1207;1.117;88.783;;LABOR;
Satyrinae;Satyrini;Erichthodes;Erichthodes_antonina;2.26;1.54;1.75;1.56;0.46;0.26;0.79;0.11;0.13;3.48;2.9351;1.291;164.253;;LABOR;
Satyrinae;Satyrini;Chloreuptychia;Chloreuptychia_chlorimene;2.29;1.28;1.85;1.54;0.47;0.2;0.94;0.11;0.143;2.931;3.5781;1.238;278.941;;LABOR;
Biblidinae;Callicorini;Callicore;Callicore_sorana;3.01;1.82;2.43;1.96;0.72;0.4;0.79;0.28;0.156;5.478;3.3077;1.239;78.647;;LABOR;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_celia;3.25;2.11;2.96;2.42;0.61;0.39;1.35;0.16;0.199;6.858;3.0806;1.098;113.843;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_eurypyle;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Charaxinae;Anaeini;Memphis;Memphis_morvus;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Moneuptychia;Moneuptychia_giffordi;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Moneuptychia;Moneuptychia_wahlbergi;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_brixius;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_melobosis;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Pharneuptychia;Pharneuptychia_pharnaces;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Prenda;Prenda_clarissa;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Charaxinae;Preponini;Prepona;Prepona_pseudomphale;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Taygetina;Taygetina_oreba;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_disaffecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_gabriela;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_nareta;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Charaxinae;Anaeini;Zaretis;Zaretis_falcis;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Charaxinae;Anaeini;Zaretis;Zaretis_itylus;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Euptychia;Euptychia_westwoodi;1.47;0.93;1.16;0.99;0.25;0.14;0.34;0.06;0.62;1.367;3.1613;1.267;441;;LABOR;
Satyrinae;Satyrini;Pharneuptychia;Pharneuptychia_phares;1.47;0.86;1.14;1.03;0.25;0.12;0.4;0.05;0.64;1.264;3.4186;1.289;600.25;Macho;BoA;
Satyrinae;Satyrini;Euptychia;Euptychia_westwoodi;1.44;0.92;1.14;0.96;0.22;0.14;0.51;0.08;0.75;1.325;3.1304;1.263;480.891;;LABOR;
Satyrinae;Satyrini;Cissia;Cissia_palladia;1.59;1.05;1.21;1.17;0.31;0.18;0.49;0.11;0.79;1.67;3.0286;1.314;251.703;Fêmea;BoA;
Satyrinae;Satyrini;Cissia;Cissia_palladia;1.64;1.06;1.24;1.19;0.32;0.19;0.48;0.1;0.79;1.738;3.0943;1.323;232.825;Fêmea;BoA;
Satyrinae;Satyrini;Cissia;Cissia_palladia;1.56;1.03;1.16;1.13;0.31;0.22;0.49;0.11;0.8;1.607;3.0291;1.345;162.197;Fêmea;BoA;
Satyrinae;Satyrini;Cepheuptychia;Cepheuptychia_cephus;1.86;1.18;1.53;1.31;0.32;0.2;0.52;0.1;0.85;2.195;3.1525;1.216;270.281;;LABOR;
Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_atalanta;1.67;0.99;1.28;1.16;0.34;0.24;0.55;0.18;0.9;1.653;3.3737;1.305;142.407;;LABOR;
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_zeredatha;1.71;1.04;1.37;1.16;0.38;0.2;0.51;0.06;0.9;1.778;3.2885;1.248;192.375;Fêmea;BoA;
Satyrinae;Satyrini;Pharneuptychia;Pharneuptychia_innocentia;1.65;1.07;1.25;1.14;0.3;0.16;0.62;0.08;0.91;1.766;3.0841;1.32;354.492;;LABOR;
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_numeria;1.69;1.11;1.39;1.19;0.34;NA;0.62;0.1;0.91;1.876;3.045;1.216;NA;Macho;BoA;
Satyrinae;Satyrini;Cepheuptychia;Cepheuptychia_angelica;2.1;1.33;1.63;1.37;0.34;0.24;0.49;0.12;0.91;2.793;3.1579;1.288;225.184;;LABOR;
Satyrinae;Satyrini;Moneuptychia;Moneuptychia_pervagata;1.57;0.93;1.22;1.03;0.29;0.21;0.62;0.08;0.93;1.46;3.3763;1.287;192.736;;LABOR;
Satyrinae;Satyrini;Pharneuptychia;Pharneuptychia_pharnabazos;1.79;1.12;1.32;1.28;0.33;0.21;0.58;0.1;0.93;2.005;3.1964;1.356;220.168;Sexo não identificado;BoA;
Satyrinae;Satyrini;Stegosatyrus;Stegosatyrus_ocelloides;1.59;0.97;1.26;1.1;0.4;0.24;0.54;0.1;0.94;1.542;3.2784;1.262;109.727;;LABOR;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_viviana;1.69;0.96;1.31;1.13;0.41;0.24;0.55;0.11;0.94;1.622;3.5208;1.29;120.939;Macho;BoA;
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_penicillata;1.74;1.08;1.29;1.23;0.36;0.23;0.57;0.11;0.94;1.879;3.2222;1.349;158.979;Macho;BoA;
Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_cosmophila;1.96;1.12;1.46;1.24;0.36;0.22;0.61;0.16;0.94;2.195;3.5;1.342;220.478;Sexo não identificado;BoA;
Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_hygina;2.06;1.23;1.63;1.31;0.36;0.18;0.54;0.08;0.94;2.534;3.3496;1.264;363.82;;LABOR;
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_terrestris;1.86;1.15;1.44;1.25;0.34;0.21;0.56;0.09;0.95;2.139;3.2348;1.292;230.732;;LABOR;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_affinis;1.87;1.24;1.5;1.37;0.38;0.21;0.59;0.11;0.95;2.319;3.0161;1.247;208.67;;LABOR;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_affinis;1.93;1.31;1.57;1.4;0.34;0.2;0.62;0.15;0.95;2.528;2.9466;1.229;273.89;;LABOR;
Satyrinae;Satyrini;Stegosatyrus;Stegosatyrus_ocelloides;1.58;1.03;1.3;1.09;0.39;0.25;0.57;0.09;0.96;1.627;3.068;1.215;102.416;;LABOR;
Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_libitina;1.7;1.02;1.31;1.15;0.34;0.22;0.59;0.06;0.96;1.734;3.3333;1.298;175.62;;LABOR;
Satyrinae;Satyrini;Godartiana;Godartiana_byses;2.21;1.36;1.72;1.49;0.37;0.24;0.61;NA;0.96;3.006;3.25;1.285;229.171;;LABOR;
Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_gisella;1.51;0.9;1.1;1.05;0.37;0.19;0.64;0.08;0.97;1.359;3.3556;1.373;170.704;;LABOR;
Satyrinae;Satyrini;Pampasatyrus;Pampasatyrus_reticulata;1.43;0.97;1.2;0.95;0.25;0.22;0.65;0.09;0.97;1.387;2.9485;1.192;169;;LABOR;
Satyrinae;Satyrini;Pharneuptychia;Pharneuptychia_phares;1.54;0.92;1.17;;0.33;0.18;0.66;0.06;0.97;1.417;3.3478;1.316;221.811;Macho;BoA;
Satyrinae;Satyrini;Yphthimoides;Yphthimoides_affinis;1.81;1.2;1.44;1.34;0.39;0.19;0.56;0.1;0.97;2.172;3.0167;1.257;232.694;;LABOR;
Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_doxes;2.05;1.24;1.63;1.36;0.38;0.2;0.56;0.06;0.97;2.542;3.3065;1.258;276.48;;LABOR;
Satyrinae;Satyrini;Haywardella;Haywardella_edmondsii;2;1.26;1.51;1.29;0.41;0.2;0.57;0.12;0.98;2.52;3.1746;1.325;243.902;Sexo não identificado;BoA;
Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_gisella;1.64;1.02;1.29;1.11;0.31;0.22;0.71;0.1;0.99;1.673;3.2157;1.271;179.259;;LABOR;
Satyrinae;Satyrini;Splendeuptychia;Splendeuptychia_ambra;1.77;1.08;1.35;1.21;0.35;0.2;0.64;0.06;1;1.912;3.2778;1.311;223.779;;LABOR;
Satyrinae;Satyrini;Paryphthimoides;Paryphthimoides_poltys;1.76;1.13;1.44;1.24;0.32;0.23;0.66;0.1;1;1.989;3.115;1.222;182.987;;LABOR;
